index,q1,q2,q3,q4,response
1792,그 덕에 황새치 두 마리는 맛있겠네라는 메시지는 무슨뜻이야?,그 덕에 황새치 두 마리는 맛있겠네라는 암호는 무슨뜻이야?,그 덕에 황새치 두 마리는 맛있겠네는 무슨뜻이였어?,그 덕에 황새치 두 마리는 맛있겠네는 무슨뜻이야?,그 덕에 황새치 두 마리는 맛있겠네를 해독해보면 쌍검전사 이무가 벤 구렁이의 길이가 벨트리 타워와 같은 634m 라는걸 알수있어
1793,에리에게 원한을 가지고 납치한 일당중 파란옷의 남자에 대해 알려줘,에리에게 원한을 가지고 납치한 일당중 파란옷의 남자 알아?,에리에게 원한을 가지고 납치한 일당중 파란옷의 남자에 대해 알아?,에리에게 원한을 가지고 납치한 일당중 파란옷의 남자에 대해 설명해줘,키사키 에리를 납치한 일당의 리더격 되는 사람이야 수많은 가정폭력을 일삼다 아내에게 이혼소송을 당했어 그리고 키사키 에리에 의해서 이혼 소송 재판에서 지는 바람에 에리를 증오했고 결국 똑같이 이혼소송 재판에서 진 다른 남편들과 같이 키사키 에리를 납치했지
1794,에리에게 원한을 가지고 납치한 일당중 마른 남자에 대해 알려줘,에리에게 원한을 가지고 납치한 일당중 마른 남자 알아?,에리에게 원한을 가지고 납치한 일당중 마른 남자에 대해 설명해줘,에리에게 원한을 가지고 납치한 일당중 마른 남자에 대해 알아?,키사키 에리를 납치한 일당 중 한 명으로 파마머리에 마른 체형의 남성으로 도박을 멈추지 않아서 아내에게 이혼소송 재판에서 패한 후 다른 남자들과 같이 키사키 에리를 납치한 후 누드영상을 찍으려 했어
1795,에리에게 원한을 가지고 납치한 일당중 뚱뚱한 남자에 대해 알려줘,에리에게 원한을 가지고 납치한 일당중 뚱뚱한 남자에 대해 알아?,에리에게 원한을 가지고 납치한 일당중 뚱뚱한 남자에 대해 알려줘,에리에게 원한을 가지고 납치한 일당중 뚱뚱한 남자에 대해 설명해줘,키사키 에리를 납치한 일당 중 한 명이야 뚱뚱한 체형에 콧수염이 있는 남성이지 불륜을 저질러서 이혼소송 재판에서 패한 후 다른 남자들과 같이 키사키 에리를 납치한 후 누드영상을 찍으려고 했어
1796,에리인지 아닌지 어떻게 알았어?,에리가 아닌지 어떻게 알았어?,에리가 아닌지 어떻게 알았어?,에리인지 아닌지 어떻게 안거야?,변호사는 서류 쓸 때 서류의 쉼표는 점이 아닌 콤마를 쓰기 때문에 변호사들은 그것이 버릇되는 바람에 평소 문장을 쓸 때도 콤마를 쓰는데 납치당했다는 메세지에도 콤마가 쓰여있어서 그때 아닌걸 눈치챘지
1797,하시즈메 아키라 알아?,하시즈메 아키라에 대해 알려줘,하시즈메 아키라에 대해 설명해줘,하시즈메 아키라가 누구야?,하시즈메 아키라는 니치우리 스포츠 기자로 같은 동료인 히로시와 사이가 안 좋아서 레스토랑에서 공개적으로 싸운적이있어 그리고 나중에 히로시를 살해한 혐의로 경찰서에 잡혀갔었어
1798,카가즈메 히로시 알아?,카가즈메 히로시에 대해 알려줘,카가즈메 히로시에 대해 설명해줘,카가즈메 히로시가 누구야?,카가즈메 히로시는 니치우리 스포츠 기자로 같은 동료인 아키라와 사이가 안 좋아서 레스토랑에서 공개적으로 싸운적이있는데 이후 독이 든 커피를 마시고 숨진 채 발견됐어
1799,카와이 신조 알아?,카와이 신조에 대해 알려줘,카와이 신조에 대해 설명해줘,카와이 신조가 누구야?,카와이 신조는 부동산 사장이였는데 송곳으로 배와 가슴을 찔려 사망했어
1800,시바타 켄스케 알아?,시바타 켄스케에 대해 알려줘,시바타 켄스케에 대해 설명해줘,시바타 켄스케가 누구야?,시바타 켄스케는 신조의 전 부하 직원였는데 뇌출혈로 사망했어
1801,카와이 유우코 알아?,카와이 유우코에 대해 알려줘,카와이 유우코에 대해 설명해줘,카와이 유우코가 누구야?,카와이 유우코는 신조의 아내인데 남편인 카와이 신조를 살해했어
1802,시바타 켄스케의 범행동기가 뭐야?,시바타 켄스케의 범행동기 알아?,시바타 켄스케의 범행동기에 대해 알려줘,시바타 켄스케의 범행동기에 대해 설명해줘,시바타 켄스케는 카와이 신조가 횡령한 돈을 갚으면 복직시켜주겠다고 했으나 안해주었기에 카와이 신조를 살해하려다 역으로 살해당했어
1803,카와이 신조의 범행동기가 뭐야?,카와이 신조의 범행동기 알아?,카와이 신조의 범행동기에 대해 알려줘,카와이 신조의 범행동기에 대해 설명해줘,카와이 신조는 정당방위를 가장한 입막음위해 살인 했어
1804,카와이 유우코의 범행동기 알아?,카와이 유우코의 범행동기가 뭐야?,카와이 유우코의 범행동기에 대해 알려줘,카와이 유우코의 범행동기에 대해 설명해줘,"신조가 켄스케 살해를 반성하지 않는 자신에게 유우코가 황당한 반응을 하자, 갑자기 ""당신이 저런 쓰레기를 동정한 탓""이라며 몰아붙이는 말로 자존심을 짓밟아서 거만함의 절정을 보인 신조에 대한 분노로 살인을 저질렀어"
1805,토노츠카 요이치가 누구야?,토노츠카 요이치 알아?,토노츠카 요이치에 대해 알려줘,토노츠카 요이치에 대해 설명해줘,토노츠카 요이치는 도쿄 스피리츠의 킷 매니저야
1806,스즈모토 마리아의 살인동기에 대해 알려줘,스즈모토 마리아의 살인동기가 뭐야?,스즈모토 마리아의 살인동기 알아?,스즈모토 마리아의 살인동기에 대해 설명해줘,"스즈모토 마리아는 자신이 올렸던 사진의 악플 때문에 시달렸다가, 알고보니 아키바 유코가 자신이 공모전에서 1등하겠다며 스즈모토 마리아가 올린 사진뿐만 아니라 다른 사람들이 올린 사진에도 몰래 계속 악플을 달았던 것이였고 계속 아키바 유코가 자신에게 악플을 달자 참을 수가 없어 살해했어"
1807,단노 쿠리노리 알아?,단노 쿠리노리에 대해 알려줘,단노 쿠리노리가 누구야?,단노 쿠리노리에 대해 설명해줘,단노 쿠리노리는 시라아미 대학 농구부 매니저이야
1808,아시자와 스미토 알아?,아시자와 스미토에 대해 알려줘,아시자와 스미토가 누구야?,아시자와 스미토에 대해 설명해줘,아시자와 스미토는 시라아미 대학 농구부 부원이야
1809,우루시바라 후미야키 알아?,우루시바라 후미야키가 누구야?,우루시바라 후미야키에 대해 알려줘,우루시바라 후미야키에 대해 설명해줘,우리시바라 후미야는 시라아미 대학 농구부 부원이야
1810,후루오카 미도리 알아?,후루오카 미도리에 대해 알려줘,후루오카 미도리에 대해 설명해줘,후루오카 미도리가 누구야?,후루오카 미도리는 시라아미 대학 농구부 매니저이야
1811,아시자와 스미토의 범행동기 알아?,아시자와 스미토의 범행동기에 대해 알려줘,아시자와 스미토의 범행이유가 뭐야?,아시자와 스미토의 범행동기가 뭔지 알아?,아시자는 단노 쿠리노리처럼 농구 시합에 나가고 싶어서 우루시바라 후미야키에게 시합을 나가고 싶다며 단노 쿠리노리를 다치게 해달라고 부탁을했는데 아시자는 단노 쿠리노리가 크게 다칠 줄은 몰랐다며 그동안 우루시바라 후미야키에게 협박을 당했었다고 해 그리고 아시자는 우루시바라 후미야키를 부르러 텐트에 갔었는데 우루시바라 후미야키가 텐트 안에서 비밀을 무사히 지키고 싶으면 프로 팀에 들어가서 평생 자신의 몫까지 돈을 벌어야한다고 한 말을 들은 아시자와 스미토는 화가 나서 범행을 저질렀다고 해
1812,타카토리 이와오가 누구야?,타카토리 이와오 알아?,타카토리 이와오에 대해 알려줘,타카토리 이와오에 대해 설명해줘,타카토리 이와오는 선글라스를 쓴 남자로 보석점에 침입한 보석강도 2인조 중 한 명이야
1813,우츠미 도쿠로가 누구야?,우츠미 도쿠로 알아?,우츠미 도쿠로에 대해 알려줘,우츠미 도쿠로에 대해 설명해줘,우츠미 도쿠로는 왼쪽 눈썹에 흉터가 있는 남성으로 타카토리와 같이 보석점에 침입한 보석강도 2인조 중 한 명이야
1814,시마즈 테루아키 알아?,시마즈 테루아키가 누구야?,시마즈 테루아키에 대해 알려줘,시마즈 테루아키에 대해 설명해줘,시마즈 테루아키는 보라색 정장을 입은 2인조 보석강도범에게 도둑맞은 보석점의 사장이야
1815,야마가 세츠오에 대해 알려줘,야마가 세츠오 알아?,야마가 세츠오에 대해 설명해줘,야마가 세츠오가 누구야?,야마가 세츠오는 녹색 정장을 입고 안경을 쓴 보석강도범에게 도둑맞은 보석점의 부사장이야
1816,나오무라 이스즈의 살인동기가 뭐야?,나오무라 이스즈의 살인동기 알아?,나오무라 이스즈의 살인동기에 대해 알려줘,나오무라 이스즈의 살인동기에 대해 설명해줘,사이버 테러를 해 자신의 부모님을 죽인 것은 물론 자신의 부모님과 비슷한 처지의 여러 사람들을 괴롭히고 그것에 대해 일말의 죄책감도 안 가진 다이키에게 제대로 분노한 이스즈는 사라이에 다이키를 살해하기로 결심했어
1817,나오무라의 부모님이 자살한이유가 뭐야?,나오무라의 부모님이 자살한이유 알아?,나오무라의 부모님은 왜 자살한거야?,나오무라의 부모님은 왜 자살한지 알아?,나오무라의 부모님이 하던 식당은 다이키가 운영하는 맛집 블로그 때문에 큰 타격을 받은 식당 중 하나였으며 그 블로그로 점차 손님이 줄어들어 결국 부모님은 빚에 시달리다가 결국 자살을 했다고 해
1818,고토 쇼지가 누구야?,고토 쇼지 알아?,고토 쇼지에 대해 알려줘,고토 쇼지에 대해 설명해줘,고토 쇼지는 코마다 타카히로의 대학교수였는데 코마다 타카히로한테 살해당했어
1819,코마다 타카히로 알아?,코마다 타카히로가 누구야?,코마다 타카히로에 대해 알려줘,코마다 타카히로에 대해 설명해줘,코마다 타카히로는 고토연구실 소속 학생인데 교수인 고토 쇼지를 살해했어
1820,코마다 타카히로의 범행동기 알아?,코마다 타카히로의 범행동기가 뭐야?,코마다 타카히로의 범행동기에 대해 알려줘,코마다 타카히로의 범행동기에 대해 설명해줘,"코마다 타카히로의 범행 동기는 쇼지 교수가 자신이 졸업 논문으로 쓰려고 생각해뒀던 걸 훔쳐가서 상을 탄 것에 대한 복수였어 타카히로의 자백에 따르면, 교수는 발이 넓은 것을 빌미로 진로를 막겠다고 협박을 한 것은 물론이고 코마다에게 거짓으로 꾸며진 위로까지 했다하고 그날 이후로 자신의 연구는 뒷전에 두고, 범행 트릭 하나에만 매달려서 수없이 실험을 했다고 해"
1821,코마다 타카히로의 꿈이 뭐였어?,코마다 타카히로의 어릴때 꿈이 뭔지알아?,코마다 타카히로의 꿈이 뭔지 알려줘,코마다 타카히로의 꿈이 뭐였는지 알아?,코마다 타카히로는 어릴때부터 연구원이 되고 싶었대
1822,쿠보 유키히데 알아?,쿠보 유키히데가 누구야?,쿠보 유키히데에 대해 알려줘,쿠보 유키히데에 대해 설명해줘,"쿠보 유키히데는 히사에의 손자로 일도 안하고 놀기만 하면서, 할머니 히사에의 골머리를 썩히는 문제의 소년인줄알았지만 나랑 소년탐정단애들의 미행 끝에 일을 안하는 게 아니라 모 슈퍼에서 일을 하는 것으로 밝혀졌어"
1823,마스크 장신남의 정체 알아?,마스크 장신남의 정체에 대해 알려줘,마스크 장신남의 정체 알려줘,마스크 장신남이 누구야?,마스크 장신남의 정체는 바로 피해자인 운모운모 사다카즈였어
1824,타고 쿠니코 알아?,타고 쿠니코가 누구야?,타고 쿠니코에 대해 알려줘,타고 쿠니코에 대해 설명해줘,타고 쿠니코는 사메이 리카의 아파트 이웃집에 거주하는 주부야
1825,테라우치 가가 운영하는 귤밭에 누구랑갔어?,테라우치 가가 운영하는 귤밭에 누구랑갔어?,테라우치 가가 운영하는 귤밭은 누구랑간거야?,테라우치 가가 운영하는 귤밭에 누구랑갔는지 알려줘,테라우치 가가 운영하는 귤밭에는 란 누나랑 소노코 누나랑 같이갔어
1826,테라우치 테츠지는 어떻게 죽은거야?,테라우치 테츠지는 왜죽은거야?,테라우치 테츠지는 어떻게 죽었는지 알아?,테라우치 테츠지가 어떻게 죽었는지 알려줘,테라우치 테츠지는 모노레일 선로 옆으로 탈선해 절벽으로 떨어져 추락사 해 사망했어
